Unit 2410 south flair towers,Price,Description,Street Address,Bedroom,Bathroom,Region,City,Barangay,Floor Area,Lot Area,Parking Space,Pet Friendly,Link
Dorm/ Room/ Bedspace in Clark Freeport,500,"I'm offering my place as a Dormitory/ Room/ Bed space inside Clark Freeport for transient stay. We can offer weekly / monthly rates according to your budget.
As low as: 
Php 500/day -  Bed space
Php 650/week - Bed Space
Php 2,500/month - Bed Space
Php 550/day - Room Rate
Php 2000/week - Room Rate
Php 8000/month - Room Rate
We observe proper health protocols and this home is sanitized daily by our staff. All rooms have air-conditioning. There is a common kitchen for cooking. Designated CR per room. Air-conditioning 
Call/Txt us at this number: +639175045746","Samat St., Clark Freeport, Mabalacat, Pampanga",1,1,Central Luzon,Mabalacat,Dau,100,,,,https://www.carousell.ph/p/dorm-room-bedspace-in-clark-freeport-1058406733/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=vJ95YMx-lMu8FPiC&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Dorm Condo Sharing Dormitory Room Bedspace for Rent in Makati Manila,3200,"Greetings from Stay Safe Makati Condominium! 

Inclusive of the following:
- Fully Furnished Rooms 
- Private Toilet and Bath for each room
- Personal Cabinets with separate locks
- Fast and reliable FREE Wifi 
- Double Decks beds with cushion
- Electric Fans
- Aircon (if needed)
- 24hr CCTV and Fingerprint Scanning Security Features
- Laundry area in the top floor
- Parking Available
- 2 helpers/admin staff to help for possible concerns
- Cooking is allowed (but only induction cooker)
- Utilities excluded but with Sub-Meter to measure consumption per room

Rates:
P3200 - bedspace upperdeck/lowerdeck
Room for 2 (w/private cr) - P8,000
Room for 4 (w/private cr) - P12,000
*****
- Electricity and Water based on actual consumption (individual meter per room)
- Additional P100 for AC room (AC maintenance)

Terms of Payment:
Rental for the month + 2 months deposit. Security Deposits are fully refundable as long no outstanding balance and no damage to property. Can be discussed, flexible payment terms. 

Address is at No. 2887 H.Santos Street cor JP Rizal Extension, Barangay Tejeros, Makati City. Very near Puregold Makati and Circuit Makati. 

Directions: (1) From Ayala, ride a jeep with signboard Makati Loop going to San Andres Bukid or (2) From Buendia ride a jeep with signboard PRC, once you reach terminal walk towards Puregold Makati. Along Tejeron street, you would see a warehouse named Space Solutions, before reaching the warehouse, turn right on the street before, thats H.Street. We are the 3rd building on the right, dark gray building (with 3 parking lots). 

Visit and Like us - FB Page - Stay Safe Residences

SMS/VIBER Num: +63917-8554130 / (0995) 827 6790","2887 H.Santos Street, Brgy Tejeros, Makati City
Very near Circuit Makati, Puregold Makati and Shopwise Makati. 1 jeep ride away from Makati CBD. ",5,5,Metro Manila (NCR),Makati City,Brgy. Tejeros,700,,,,https://www.carousell.ph/p/dorm-condo-sharing-dormitory-room-bedspace-for-rent-in-makati-manila-238628577/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=vJ95YMx-lMu8FPiC&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace for Ladies in Makati,3000,"* Address: 2960 Arpilleda St., Bgy Carmona, Makati
* Contact: Rene Arellano / Mobilel# 09564080179
* We are located next to Carmona Sports Complex
* The 2 storey Building w/ a 7-11 Store at the groundflr
* Infront of Ayala Circuit Mall along A.P. Reyes St.
* 5 minutes walk fr corners, JP Rizal St & Chino Roces St.
* Dormitory Style Living Accomodation for Ladies
* Located in a Safe and Accessible Neighborhood
* Superbly Clean and Spacious Rooms
* We Provide: Housekeeping, Dbl Deck Beds w/ Mattress
* Individual Lockers, Cable TV, WIFI Access, Ceiling Fans
* Basic Rent: Php 3000 a month, Elec & Water included
* 1 month Advance and 1  month Security Deposit ",2960 Arpilleda St.,5,4,Metro Manila (NCR),Makati City,Carmona,200,,,,https://www.carousell.ph/p/bedspace-for-ladies-in-makati-1058250424/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=D0Mz3I6gPNxDoESs&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Pasig ladies bed spacer bedspacing bedspacer,2000,"few steps from rotonda jollibee pasig.
commuter hub area
safe and quiet area
internet shared",22 f. caruncho st caniogan pasig city,1,2,Metro Manila (NCR),Pasig City,Caniogan,30,,,,https://www.carousell.ph/p/pasig-ladies-bed-spacer-bedspacing-bedspacer-1018466900/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=vJ95YMx-lMu8FPiC&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
"BEDSPACE FOR RENT NEAR KAPITOLYO,ORANBO,ORTIGAS,CAPIOTOL COMMONS",3500,"Location: Citylane Townhouse Oranbo Pasig City, Beside Philippine Sports Commission (ULTRA)

Bedspace/Transient

2 month advance and 1 month deposit.
Inclusive of Electricity and Water:

Transient is 500 php per day.

Free use of amenities:
Kitchen appliances, fully furnished bed mattress, dining table , cabinet, sofa. Well ventilated, Safe and conveniently located near commercial establishments and walking distance from your place of work.

24/7 Security 

WALKING DISTANCE TO : 
Kapitolyo,Ortigas Center, Capitol Commons, Estancia Mall, SM Megamall, Tektite, Metrowalk, Medical City,Tiendesitas,BPI, BDO etc. 

For faster transaction kindly contact Doris 09064583315/09150617024",72 City View St.,3,2,Metro Manila (NCR),Pasig City,City Lane Townhouse,10,,,,https://www.carousell.ph/p/bedspace-for-rent-near-kapitolyo-oranbo-ortigas-capiotol-commons-240392122/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=vJ95YMx-lMu8FPiC&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
bedspace ladies only san juan,3500," Bedspace for ladies only, 3,500 per person own bathroom free electricity and water and use of kitchen laundry area.",Cor. Araullo St.,1,1,Metro Manila (NCR),San Juan City,Classica Manor Town Homes Montessory Lane,20,,,,https://www.carousell.ph/p/bedspace-ladies-only-san-juan-238746758/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=vJ95YMx-lMu8FPiC&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace/Condo Sharing,8000,"CONDO SHARE/BEDSPACE
ALL THE INFORMATIONS WILL BE LISTED BELOW! 
PLEASE, MESSAGE ME IF YOU’RE INTERESTED AND FEEL FREE TO ASK
INFORMATIONS
Amaia Skies Shaw Condominium 
29th Floor 
Fully Furnished 
Facing Amenities
1 year Contract
MOVE IN ANYTIME
CONDO SHARING / BEDSPACE
All Female (3 Pax available)
ALL IN
PHP 8,000/month 
2 months deposit 1 month Advance

Inclusions
-Electricity
-Water 
-Fiber WIFI
- Free use of Utilities 
- Free use of Amenities
-Association Dues 
-Parking
 UTILITIES
* AirCon
* Kitchen Cabinets
* Refrigerator 
* Automatic washer
* Electric stove 
* Sofa 
* TV with Netflix 
* Shower hot/cold
* Room Cabinet
AMENITIES
* Swimming pool
* Playground
* landscaped garden
* Jogging path
LOCATION 
 Shaw Blvd corner Samat Street, Barangay Highway Hills, Mandaluyong City
* Accessible from EDSA and Shaw Blvd.
* Accessible to Shaw station of MRT and transport stations such as Jeepneys, buses and Shuttle services.
* Close to schools, recreational center, hospitals and various commercial establishments such as EDSA Central, Starmall, Shangri-la and SM Megamall.

Unit Owner here",Shaw Blvd. Cor. Samat Street,2,1,Metro Manila (NCR),Mandaluyong City,Highway Hills,32,,,,https://www.carousell.ph/p/bedspace-condo-sharing-1058068474/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=DzHdTCen0sYwLYBx&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Taft Condo Unit for Rent/Bedspacers,16000,"Accepting rentees for a studio unit in Taft, Manila area.
Walking distance to a LRT station. Near PGH, DLSU, Pedro Gil, fastfood chains, banks. 

May also be rented as bedspacer for 4k/head.

Inclusive of:
Water bill.
2 bunk beds with mattress. 
TV
Microwave oven.
Refrigerator.
Aircon.
Study table. 
4 individual cabinets. 
Gym and Pool access. 

Facilities:
Mini gym. 
Pool. 
Study area. 
Water refilling station. 
Laundry shop. 
Mini cafeteria. 

Electricity may depend on usage but usually 2k/month via Meralco load available in the lobby. 

1 month advance, 1 month deposit. 
Minimum of 6 months stay.","Taft Avenue, Manila",0,1,Metro Manila (NCR),Manila,Quirino-Taft Avenue,19,,,,https://www.carousell.ph/p/taft-condo-unit-for-rent-bedspacers-1021053613/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=vJ95YMx-lMu8FPiC&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Female Condo Sharing/Bedspace - 2BR Fully Furnished Unit,6500,"Newly Turned-over Unit in PIONEER WOODLANDS. Ready for occupancy. 
Furnished so you just have to bring yourself and personal things. 


Meralco, Condo Dues and Water Bill will be divided equally. Max of 4.

Linked to MRT 3 Boni Station
near Ortigas, Makati, BGC, SM Megamall, ShangriLa

With Brand New furnitures and appliances
Includes
- wifi connection
-dining set
-bed frames
-sala set
-tv stand
-induction cooker
-refrigirator
-washing machine
-range hood
-cooking utensils",Pioneer Woodlands,2,1,Metro Manila (NCR),Mandaluyong City,Cor. Edsa,30,,0,Yes,https://www.carousell.ph/p/female-condo-sharing-bedspace-2br-fully-furnished-unit-273776611/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=vJ95YMx-lMu8FPiC&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
"10 Bedspacer, Electric/Water INCLUDED!! NEAR BGC, SM AURA, McKinley.",3000,"6 BEDS AVAILABLE

Bedspace rent includes the following:
-Inclusive Electricity, running water 
-Free Internet (75mbps converge)
-Free use of appliances (Stove, Microwave, Refrigerator, Electric Fan, 4k Television with Netflix, Spotify, Youtube)
-Bathroom
-Cabinet for clothes
-Shoe racks
-24/7 CCTV Security

-No Aircon
-No laundry (you have to go to laundry services nearby).
-No extra pillows, bed sheets, pillow sheets, blankets.
-No car park space, but you can have your motorcycle park at the near basketball court if you want.

Minimum contract 6 months
1-month Advance and 1-month Deposit.

Requirements:
-1 Photocopy of Valid ID.

Contact me!
0956-065-5950","Blueridge Street, Aranai Village, Brgy. Rizal, Makati City",5,1,Metro Manila (NCR),Taguig,"Brgy. Rizal, Makati City",14,,,,https://www.carousell.ph/p/10-bedspacer-electric-water-included-near-bgc-sm-aura-mckinley-1041784015/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=vJ95YMx-lMu8FPiC&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
