Unit Name,Price,Description,Street Address,Bedroom/s,Bathroom/s,Region,City,Barangay,Floor Area,Lot Area,Parking Space,Pet Friendly,Garden,Link,Image
Urgent need of bedspacer/s,2800,"2 storey apartment in need of bedspacer for shared room with slots available, working in Makati area.  I prefer Christian but not necessary. As long as with good attitude,  okay makisama. Pls. txt first, identify yourself before calling, for viewing. Take note: No offense, do not intend to discriminate po.  Di po ako mag aaccept ng  nagwo work sa hospitals to protect from Covid19  mga nakatira nasa compound and bahay.","Sandico Street, Brgy Tejeros JP Rizal Mkati",1,1,Metro Manila (NCR),Makati City,,40,,,,,https://www.carousell.ph/p/urgent-need-of-bedspacer-s-1027113923/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=MEpW0Pc9KWLIOwjD&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Room/bedspace,1200,"Room for rent or bedspace, just in front of Saint Louie College, San Fernando, La Union","55 national highway, brgy lingsat, san fernando, la union",5,5,Ilocos,San Fernando,,26,,,,,https://www.carousell.ph/p/room-bedspace-244324896/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=MEpW0Pc9KWLIOwjD&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
"Bedspace for Male and Female near Ortigas (Rosario, Pasig)",2200,"BEDSPACE FOR MALE & FEMALE in Rosario, Pasig (near Ortigas)

Located opposite of One Affordable Department Store (beside Manila Water). Dorm is at the second floor of the building occupied by Motortrade.

Walking distance from IPI, Tiendesitas, Silvercity, Alaskaland and Bridgetowne.

One ride away from Ortigas Center, SM Megamall, Robinsons Galleria, Metrowalk, Rockwell Business Center, Greenhills, Cubao, Eastwood Libis, Makati, BGC and SM East Ortigas.

PRICES are inclusive of water, basic use of electricity, bed, foam, cabinet, electric fan and Wi-Fi.

REQUIREMENTS:

1.) 1 Month Consumable Deposit + 1 Month Advance (Non Refundable) 
2.) Key Deposit of Php 100.00 (Refundable) 
3.) Photocopy of any government-issued ID and company ID
4.) 2x2 photo and 1x1 photo

CONTACT NUMBERS:

0917 552 0288
0917 833 3831","335 Amang Rodriguez Avenue Rosario, Pasig City",5,5,Metro Manila (NCR),Pasig City,,568,,,,,https://www.carousell.ph/p/bedspace-for-male-and-female-near-ortigas-rosario-pasig-240032130/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=axD_EwUGFETxbO3t&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
2 Newly refurbished Lady Bedspace rooms,2500,"Lady Bedspace with up to 100 mbps, aircon and non-ac rooms.

Details:
-Fixed ALL IN, bills are included in the rent
-Drinking water with hot and cold water dispenser
-Unlimited Fiber wifi (Plan 100 MBPS with 3 wifi routers)
-Free TV use
-With Refrigerator
-Free use of common terrace, sala and kitchen
-3 Common CR
-Butane stove
-Free landline phone use
-No curfew 
-Visitors allowed
-CCTV
-Keys provided (Must be surrendered once tenancy ends) 
-No extra fee for gadgets, manual laundry, rice cooker, etc
-100 fee per use of washing machine/500 fee unli use of washing machine per month

2500 Non-AC Room (Max of 6):
-1 fan each
-Double deck bed with uratex foam
-Orocan drawer with lock


3000 AC Room (Max of 6 and 8):
-Aircon 14 hours a day
-Double deck bed with uratex foam
-Lockers

3500 AC Room (Max of 4):
-Aircon 14 hours a day
-Double deck bed with uratex foam
-Lockers

3500 AC Room (Max of 2):
-Aircon 12 hours a day
-Double deck bed with uratex foam
-Orocan drawer with lock



1 month advance, 1 month deposit (Minimum of 2 months)
FIRST COME FIRST SERVE


JUST SHOW 2 VALID ID OR NBI CLEARANCE/POLICE CLEARANCE


Address:
6176 Salvador Estate Dr. A Santos Avenue Brgy San Isidro Sucat Paranaque City

Landmark:
Green gate with pole bamboo beside dental clinic and bridge. (The place can be seen from the highway already)


1 RIDE AWAY FROM CITY OF DREAMS, SM SUCAT, NAIA, MIA, SM BF, SANTANA GROVE, PASCOR, OLIVAREZ, VALLEY 2, LOPEZ,VALLEY 1, BACLARAN ETC 

WALKING DISTANCE FROM EVACOM, GATCHALIAN, PATTS, AND UNIVERSAL COLLEGE

Pm or contact 09956121049// 09777128208 for more info. Thanks ",6176 Salvador Estate Sucat Brgy San Isidro,3,3,Metro Manila (NCR),Paranaque City,,150,,,,,https://www.carousell.ph/p/2-newly-refurbished-lady-bedspace-rooms-256370681/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=MEpW0Pc9KWLIOwjD&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Solo rooms/Bedspace,2500,"Terms: 1month adv, 1 month deposit
Included: water, electric, pede mag luto, common cr
Near San Joaquin terminal, BGC Taguig 
Ladies Only 
Contact no. 09171359038 ",101 San Bernardo st I Sanchez ,1,1,Metro Manila (NCR),Pasig City,San Joaquin,10,,,,,https://www.carousell.ph/p/solo-rooms-bedspace-1046754407/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=MEpW0Pc9KWLIOwjD&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
"Bedspace at Ayala Centera Condominium, EDSA-Mandaluyong. 09085150291.",5200,"Bedspace at Ayala Centera Condominium, EDSA-Mandaluyong. 
Free WIFI, monthly association condo dues and water consumption.
5,200 per month **excluding electricity (Meralco) bill** 
With TV, aircon, double-deck with foam, table and refrigerator.
3 slots available.","Ayala Centera Condominium, EDSA, Mandaluyong",1,1,Metro Manila (NCR),Mandaluyong City,,22,,,,,https://www.carousell.ph/p/bedspace-at-ayala-centera-condominium-edsa-mandaluyong-09085150291-272164765/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=MEpW0Pc9KWLIOwjD&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
bedspace / room rentals,1234,Spaciois rooms with lounge area for both floors and veranda front and back. rooftop for lavatory and drying area,"Andrea Paz Housing, Barandal Road",2,2,Calabarzon,Calamba,Barandal,100,,,,,https://www.carousell.ph/p/bedspace-room-rentals-1054274791/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=bd6tKuZcRJvKDyiW&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
All in Spacious Furnished Bedspace in GMA Kamuning,5000,"Rate inclusive of all utilities ie. electricity with air-con (1 HP), water, 25 mbps optic  fiber internet, common landline, cooking, laundry

Full built in cabinetry for wardrobe, luggage, library study desk and files
With study desks and night table per bedspacer
Locks for drawers and cabinets
Appliance in room are aircon, table  electric fan per bed, study lamps
Access and use of fully accessorized dining, two kitchens, living areas, two service/laundry areas, lanai/porch, garden
Room assigned CR with shower heater at the first floor. Two CRs for boarders.
Additional P 500 for  boarder if FT work from home 
Additional P 1000 for permanent parking slot if with vehicle (sedan/SUV)
Ratio of 4 or 5 boarders per CR (ave. if full house)
This is a boarding house in a quiet residential neighborhood with open green spaces
1 min. walk to Kamuning Road, 5 min walk to GMA-Kamuning MRT

Requirements:
Full Time Working 
Minimum 6 months lease
Updated government and employer ID
1 month property deposit
1 month rent advance

Contact:  Gela: 091171369447
                         85299439","#10, 11th Jamboree St.",1,1,Metro Manila (NCR),Quezon City,Sacred Heart,16,,,,,https://www.carousell.ph/p/all-in-spacious-furnished-bedspace-in-gma-kamuning-1047145937/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=MEpW0Pc9KWLIOwjD&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
All in Furnished Spacious Female Bedspace in GMA Kamuning,5000,"Php 5000/bedspace
Rate inclusive of utilities (electricity with aircon, water, 25 mbps fiber internet, common landline, cooking, laundry
Inclusive of access and use of facilities of fully accessorized two kitchens, living, dining, two laundry service areas, porch/patio, garden
Fully furnished with built in wardrobe and luggage cabinetry, study desks/dresser, shoe rack, clothes hanger, laundry basket, 
Locks for drawer and cabinet
Appliances in room are study lamp, stand fan, aircon
Adjacent to new modern multipoint heated CR
Max of 4 pax per CR if full house capacity
Additional P 1000 if FT homebased/remote worker
Additional P 500 if rotating or grave yard shift worker
Additional P 1000 for permanent parking of  vehicle (sedan/SUV)

Requirements:
Full Time working females preferred
Minimum 6 months stay
Updated government and employment ID
1 month property deposit, 1 month advance

Please contact:
Gela    09171369447
           85299439","#10, 11th Jamboree St. ",1,1,Metro Manila (NCR),Quezon City,Sacred Heart,150,,,,,https://www.carousell.ph/p/all-in-furnished-spacious-female-bedspace-in-gma-kamuning-1047150376/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=MEpW0Pc9KWLIOwjD&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Female Bedspace at Axis Residences,4500,"- Axis Residences is located along Pioneer St., Mandaluyong City, right next to Cybergate 3
- Amenities include free use of gym, outdoor pool and basketball court 
-The unit is fully furnished 
- Kitchen is furnished with a ref, microwave, induction stove, range hood 
- Bedroom is furnished with AC, Ddecks & mattress, 4 wardrobe cabinet (1 cabinet per tenant) 
- Each bedspace has its own curtain for privacy & to block out all light for undisturbed sleep    
- Free use of gym & outdoor swimming pool   
- Upper deck rate is Php4500, lower deck rate isPhp4700   
- Rental rate does not include condo dues, Water and Electric bill 
- Condo Dues is 500 per person

Minimum length of stay: 6 months
Terms of payment: 1 month advance, 2 months deposit","Axis Residences, Pioneer St, Mandaluyong City",1,1,Metro Manila (NCR),Mandaluyong City,,24,,,,,https://www.carousell.ph/p/female-bedspace-at-axis-residences-1010100366/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=MEpW0Pc9KWLIOwjD&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
