Unit Name,Price,Description,Street Address,Bedroom/s,Bathroom/s,Region,City,Barangay,Floor Area,Lot Area,Parking Space,Pet Friendly,Link,Images,Special Character?
"MAKATI DORMITORIES for P3,250/month near BGC & Ayala Avenue",3250,"“Euroflats” offers Male and Female Dorms; very clean and well-maintained.

Dorms are equipped with WiFi,  Aircon & Cable TV. Charges for Internet and Cable TV are included in the price, cost of utilities is shared with your room mates

We provide 2 sets of pillows, pillow cases, flat & fitted sheets for free. Daily cleaning of your room and the laundry of your bed sheets twice a month is provided for free as well.

We serve affordable meals in our onsite restaurant and our Building Administrator lives in the same building to ensure we cater to your needs.

A single ride brings you to BGC or CBD.

Terms: 2 months deposit; 12 months contract; no pets; no parking.

Call Ruby at 09-EUROFLATS

."," 508 Yakal Street, Barangay Comembo, Makati City, Makati City",1,2,Metro Manila (NCR),Makati City,,50,,0,,https://www.carousell.ph/p/makati-dormitories-for-p3-250-month-near-bgc-ayala-avenue-240841355/?t-id=YkTxhsDDaD_1612243463771&t-referrer_browse_type=search_results&t-referrer_request_id=2jPvycW91uRc-At5&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/01/21/makati_dormitories_for_p3250month_near_bgc__ayala_avenue_1611225792_a09638a9e_progressive, https://media.karousell.com/media/photos/products/2021/01/21/makati_dormitories_for_p3250month_near_bgc__ayala_avenue_1611225792_501b9efde_progressive, https://media.karousell.com/media/photos/products/2021/01/21/makati_dormitories_for_p3250month_near_bgc__ayala_avenue_1611225793_fe3f68d1e_progressive, https://media.karousell.com/media/photos/products/2021/01/21/makati_dormitories_for_p3250month_near_bgc__ayala_avenue_1611225793_1a050556e_progressive, https://media.karousell.com/media/photos/products/2021/01/21/makati_dormitories_for_p3250month_near_bgc__ayala_avenue_1611225793_a7003b36e_progressive, https://media.karousell.com/media/photos/products/2021/01/21/makati_dormitories_for_p3250month_near_bgc__ayala_avenue_1611225793_b5287c1de_progressive, https://media.karousell.com/media/photos/products/2021/01/21/makati_dormitories_for_p3250month_near_bgc__ayala_avenue_1611225793_76cd0788e_progressive, https://media.karousell.com/media/photos/products/2021/01/21/makati_dormitories_for_p3250month_near_bgc__ayala_avenue_1611225793_fd0821a3e_progressive, https://media.karousell.com/media/photos/products/2021/01/21/makati_dormitories_for_p3250month_near_bgc__ayala_avenue_1611225794_a58ec9dae_progressive, https://media.karousell.com/media/photos/products/2021/01/21/makati_dormitories_for_p3250month_near_bgc__ayala_avenue_1611225794_27c5f149e_progressive",description
"Lady Bedspacer near Ortigas Center, Bridgetowne, and Eastwood City",2000,"Furnished with wi-fi, fridge, stove, bed with Uratex foam, electric fan, water purifier, and with own cabinet. Inclusive of water and electricity.

Safe and quiet place ??",Doña Juana Subdivision,,1,Metro Manila (NCR),Pasig City,Rosario,60,,,,https://www.carousell.ph/p/lady-bedspacer-near-ortigas-center-bridgetowne-and-eastwood-city-1066741510/?t-id=YkTxhsDDaD_1612243463771&t-referrer_browse_type=search_results&t-referrer_request_id=KJ_npGgyv7dnWVUp&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/2/1/lady_bedspacer_near_ortigas_ce_1612161054_3fbae914_progressive, https://media.karousell.com/media/photos/products/2021/2/1/lady_bedspacer_near_ortigas_ce_1612161054_c7349cad_progressive, https://media.karousell.com/media/photos/products/2021/2/1/lady_bedspacer_near_ortigas_ce_1612161054_6be76838_progressive",description
Lady bedspacers **URGENT**,2200,"Lady bedspacers **URGENT**
Apartment near BGC and McKinley. Good location and very clean

- All electricity and water bills included
- Apartment has a living room and sofa set lounge area
- Common kitchen utensils are provided
- Mattresses and electric fans provided
- Room has a cabinet for your things 
Lots of shops, restaurants, and market nearby
Easy public transportation

10 mins to BGC and McKinley
20 mins to Makati
20 mins to NAIA airport
30 mins to Eastwood

Hi! It is in MRB condominium, C5 Taguig City
You may schedule for inspection at below number for Japz +63 995 071 5332
Thanks!",MRB Taguig. Near C-5 Petron,3,1,Metro Manila (NCR),Taguig,,34,,,,https://www.carousell.ph/p/lady-bedspacers-urgent-268221462/?t-id=YkTxhsDDaD_1612243463771&t-referrer_browse_type=search_results&t-referrer_request_id=KJ_npGgyv7dnWVUp&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/12/18/lady_bedspacers_urgent_1576638220_cfc86380_progressive.jpg, https://media.karousell.com/media/photos/products/2019/12/18/lady_bedspacers_urgent_1576638220_6dbf247c_progressive.jpg, https://media.karousell.com/media/photos/products/2019/12/18/lady_bedspacers_urgent_1576638220_8ce95ede_progressive.jpg, https://media.karousell.com/media/photos/products/2019/12/18/lady_bedspacers_urgent_1576638220_f0c3ed88_progressive.jpg, https://media.karousell.com/media/photos/products/2019/12/18/lady_bedspacers_urgent_1576638220_d465c70c_progressive.jpg, https://media.karousell.com/media/photos/products/2019/12/18/lady_bedspacers_urgent_1576638220_87016092_progressive.jpg, https://media.karousell.com/media/photos/products/2019/12/18/lady_bedspacers_urgent_1576638221_0711381e_progressive.jpg, https://media.karousell.com/media/photos/products/2019/12/18/lady_bedspacers_urgent_1576638221_08823a9c_progressive.jpg, https://media.karousell.com/media/photos/products/2019/12/18/lady_bedspacers_urgent_1576638221_b1533016_progressive.jpg, https://media.karousell.com/media/photos/products/2019/12/18/lady_bedspacers_urgent_1576638221_83f16209_progressive.jpg",
Makati Ladies Bedspace room for rent boarding house dormitory,2800,"Condo type bedspace for Rent.

PRICE: 
Top Bed - 2,800
Bottom Bed - 3,000
With cooking and laundry area. 
TXT SMS - (0943) 486-8800

FREE / INCLUSIVE:
Inclusive of Wi-Fi, water and electricity consumption
Clean and Organized
Secured and gated with CCTV
Regular Housekeeping
Double Deck Beds with Foam Uratex Mattress
Wall Fans
Hot and Cold Filtered Drinking Water
Common Areas with TV
Steel Beds
Steel Lockers
Uratex Foam Mattress
Clean Bathrooms

Nearby Establishments:

- Buddy's cor Kalayaan
- Century Mall 
- Circuit Makati (5 Mins walk)
- Makati Cityhall 
- SM Jazz (10 mins walk)
- Mapua (10 mins walk)
- Ayala Triangle
- SSS / BIR / Philhealth
- French Embassy / VFS Global
- Goethe Institute
- Jollibee / Chowking / Mcdonalds
- St. Andrews Church
- City Garden Grand Hotel

TXT SMS - (0943) 486-8800",Makati,5,4,Metro Manila (NCR),Makati City,Valenzuela,,,,,https://www.carousell.ph/p/makati-ladies-bedspace-room-for-rent-boarding-house-dormitory-1022849174/?t-id=YkTxhsDDaD_1612243463771&t-referrer_browse_type=search_results&t-referrer_request_id=KJ_npGgyv7dnWVUp&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/7/22/makati_ladies_bedspace_1595432148_f85ce90b_progressive, https://media.karousell.com/media/photos/products/2020/7/22/makati_ladies_bedspace_1595432148_db29569b_progressive, https://media.karousell.com/media/photos/products/2020/7/22/makati_ladies_bedspace_1595432148_034a8712_progressive, https://media.karousell.com/media/photos/products/2020/7/22/makati_ladies_bedspace_1595432148_f130bcfa_progressive",
"Condo Bedspace for Rent near MCKINLEY West, Gate 3, BGC, NAIA, Magallanes",3500,"Condo Sharing / Bedspace near Mckinley West, BGC, NAIA, Resort World, Market Market, Magallanes

Looking For Male & Female Roomate (BEDSPACERS) near ROBINSON CYBER SIGMA, MCKINLEY, BGC, NAIA, MAGALLANES
MOVE IN ASAP ! ! !

Php 4.5k to 7k monthly only, Utilities expenses shared by tenants
Also Available: Transient/AIRBNB (ALL-IN)
   *Php 600/day - bedspace/Room Sharing
   *Php 1500/day -small room
   *Php 2000/day -big room
Small Room - 14k monthly
Big Room - 21k monthly
Two Bedroom Unit - 32k monthly
Parking - 6k monthly

-Fully Furnished Unit 
-Spacious Unit
-Air-conditioned Room
-double deck/single bed frame with foam
-with wardrobe closet 
-Shower with Heater
-Toilet with Bidet
-Washing Machine
-Iron and Stand
-Complete Kitchen Utensils
-Rice Cooker
-Gas Stove & Oven 
-Microwave Oven & Toaster
-Dining Set
-Sala
-TV with Cable/TV Plus
-High Speed Unlimited Internet
-with Personal Assistance & Management 
-with Condo Housekeeper

*****Condo Ammenties such as:
-Olympic & Kids Swimming Pool
-Basketball Court
-Children's Park
-Clubhouse
-Jogging Path
-24/7 Condo Security
-Peaceful Environment close to Nature
-Dog and Cat Friendly

For Inquiries and Viewing, message me directly at 0936 666 2330 :) :) :)",Lawton Avenue,2,1,Metro Manila (NCR),Taguig,,,,,,https://www.carousell.ph/p/condo-bedspace-for-rent-near-mckinley-west-gate-3-bgc-naia-magallanes-283886380/?t-id=YkTxhsDDaD_1612243463771&t-referrer_browse_type=search_results&t-referrer_request_id=KJ_npGgyv7dnWVUp&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2020/03/18/condo_bedspace_for_rent_near_mckinley_west_bgc_naia_magallanes_1584543743_d1c9d733_progressive.jpg,
4 bedroom dorm type apartment for staff housing across Victory Pasay M,37000,"4 bedrooms with 10 beds with 3 shared/common toilet and 1 kitchen. 
maximum of 10 persons capacity.  All beds include mattresses already. Ready for occupancy.
located on the ground floor, with separate access from the street level. No curfew needed.
all beds with their own worktable and outlets.

ideal for a staff house.
electricity and water included in the rent.

located very near Libertad LRT Station and right across Victory Pasay Mall.
nearby establishments are 7-11, Mercury Drug, Puregold Grocery, Mang Inasal, Kentucky Fried Chicken.
Libertad Public Market, Cartimar Market, Eastwest Bank, BPI, PNB, BDO, Metrobank, Security Bank, Chinabank.
walking distance to Pagibig PASAY Office, Cuneta Astrodome, Welcomme Mall.
1 ride away from Makati, SM MOA area.

no parking available. no aircon available.
tenant can install aircon at their own cost + electricity."," A. Arnaiz Ave. Pasay, Pasay City",4,3,Metro Manila (NCR),Pasay City,,60,,0,,https://www.carousell.ph/p/4-bedroom-dorm-type-apartment-for-staff-housing-across-victory-pasay-m-1051933976/?t-id=YkTxhsDDaD_1612243463771&t-referrer_browse_type=search_results&t-referrer_request_id=ikL2Kd6n8WjrEsex&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/01/21/4_bedroom_dorm_type_apartment_for_staff_housing_across_victory_pasay_m_1611203671_26b2e408e_progressive, https://media.karousell.com/media/photos/products/2021/01/21/4_bedroom_dorm_type_apartment_for_staff_housing_across_victory_pasay_m_1611203671_de8d4bbbe_progressive, https://media.karousell.com/media/photos/products/2021/01/21/4_bedroom_dorm_type_apartment_for_staff_housing_across_victory_pasay_m_1611203671_d48b2ecbe_progressive, https://media.karousell.com/media/photos/products/2021/01/21/4_bedroom_dorm_type_apartment_for_staff_housing_across_victory_pasay_m_1611203671_e056b14be_progressive, https://media.karousell.com/media/photos/products/2021/01/21/4_bedroom_dorm_type_apartment_for_staff_housing_across_victory_pasay_m_1611203672_a9710bf4e_progressive, https://media.karousell.com/media/photos/products/2021/01/21/4_bedroom_dorm_type_apartment_for_staff_housing_across_victory_pasay_m_1611203672_22acb38ce_progressive, https://media.karousell.com/media/photos/products/2021/01/21/4_bedroom_dorm_type_apartment_for_staff_housing_across_victory_pasay_m_1611203672_a5b95fe8e_progressive, https://media.karousell.com/media/photos/products/2021/01/21/4_bedroom_dorm_type_apartment_for_staff_housing_across_victory_pasay_m_1611203672_1b7fadbde_progressive",
Female bedspace for rent,2400,"Located in San Isidro, Makati

- accessible to Makati CBD, malls and convenience stores
- double deck bed
- there are rooms for 2, 4, or 6 occupants, you may check for  availability of bed / room
-rent is inclusive of water, basic electricity, uratex bed, own cabinet, own fan, and WiFi
-no excessive laundry or cooking allowed (no kitchen or laundry area alloted in the place). There are laundry shops and eateries nearby. 

Priority goes to tenant:
-with normal working schedule (M-F, day shift, starts at around 7:30am onwards)
-had experience in bedspacing/room-sharing (hindi alagain) 
-who can stay for a minimum of 6 months

Requirements:
-NBI clearance
-valid IDs

Pls. message me for further inquiries and contact details of the owner",,1,1,Metro Manila (NCR),Makati City,San Isidro,0,,,,https://www.carousell.ph/p/female-bedspace-for-rent-1051938572/?t-id=YkTxhsDDaD_1612243463771&t-referrer_browse_type=search_results&t-referrer_request_id=KJ_npGgyv7dnWVUp&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/11/27/female_bedspace_for_rent_1606463935_7f8b8dc6_progressive.jpg, https://media.karousell.com/media/photos/products/2020/11/27/female_bedspace_for_rent_1606463935_2bd14925_progressive.jpg, https://media.karousell.com/media/photos/products/2020/11/27/female_bedspace_for_rent_1606463936_868acaca_progressive.jpg",
"Female BedSpace or Condo Sharing At Makati City With Wifi Internet at One Pacific Place at the Heart of Central Business District, Makati City.",8500,"     “Feels like living in an Elegant Hotel With A Makati Skyline View”

• Php 8,500/month per person NEGOTIABLE, Assoc Dues Included, 2 months deposit, 1 month advance. 1 YEAR CONTRACT “EXTENDABLE UPON REQUEST”.

• Must Be Professional or Student.

• DIRECT OWNER HERE, NO BROKER OR AGENTS

• Ready to LEASE and VIEW anytime. Just make an appointment to ME or Juan Carlos Camacho.

• Secured Building with 24 hrs Security and CCTV.

• View of MAKATI SKYLINE or Central Business District view. •

• Private message if interested, txt or call 09175950234 OR 09178947943

• DIRECTION: One Pacific Place, 161 H.V Dela Costa St., MAKATI CITY Central Business Districts.

• ITS NEAR: RCBC building (Ayala), PBCOM Tower Ayala Ave, Paseo De Roxas, SALCEDO VILLAGE, LEGAZPI VILLAGE, Makati Avenue, MAKATI POLICE/FIRE STATION, SCHOOLS LIKE MAPUA, ATENEO, CEU, IACADEMY, AND FEU, CHURCH ETC. • For Inquiries, Viewing and Contract TRANSACTION, Private Message or Call me 09175950234/09178947943 for details. 

#FORRENT #MAKATIFORRENT #MAKATI #OnePacificPlace #FemaleBedSpace","One Pacific Place, 161 H.V Dela Costa St., MAKATI CITY Central Business Districts.",1,1,Metro Manila (NCR),Makati City,Bel-air,28,,,,https://www.carousell.ph/p/female-bedspace-or-condo-sharing-at-makati-city-with-wifi-internet-at-one-pacific-place-at-the-heart-of-central-business-district-makati-city-1066290516/?t-id=YkTxhsDDaD_1612243463771&t-referrer_browse_type=search_results&t-referrer_request_id=ikL2Kd6n8WjrEsex&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/1/30/female_bedspace_or_condo_shari_1611991854_0f43a17e_progressive, https://media.karousell.com/media/photos/products/2021/1/30/female_bedspace_or_condo_shari_1611991856_51f15242_progressive, https://media.karousell.com/media/photos/products/2021/1/30/female_bedspace_or_condo_shari_1611991855_59529772_progressive, https://media.karousell.com/media/photos/products/2021/1/30/female_bedspace_or_condo_shari_1611991855_6e42c4ad_progressive, https://media.karousell.com/media/photos/products/2021/1/30/female_bedspace_or_condo_shari_1611991855_9937e0fd_progressive, https://media.karousell.com/media/photos/products/2021/1/30/female_bedspace_or_condo_shari_1611991855_1249822f_progressive, https://media.karousell.com/media/photos/products/2021/1/30/female_bedspace_or_condo_shari_1611991855_96ad7472_progressive, https://media.karousell.com/media/photos/products/2021/1/30/female_bedspace_or_condo_shari_1611991855_684a9fe0_progressive, https://media.karousell.com/media/photos/products/2021/1/30/female_bedspace_or_condo_shari_1611991854_ed0dadb5_progressive, https://media.karousell.com/media/photos/products/2021/1/30/female_bedspace_or_condo_shari_1611991854_586fd208_progressive",description
"Female Bedspacer in San Juan City near Greenhills, Ortigas Center",2500,"For Rent: Female Bedspacer

* Near San Juan City Hall, Pinaglabanan Shrine, San Juan Arena, P. Guevarra, Ortigas
* Secured location (with CCTV)
* Free wifi- fibr, free cable tv, water dispenser, rent is inclusive of water & electricity
* With cabinet, double deck, uratex foam, electric fan

Available: 
C. Dungo St. (near San Juan City Hall)
2nd flr- 5 slots available, 4 upper deck(2,500) & 1 lower deck(2,600); (4 persons per room) 
3rd flr- 4 slots available, upperdeck; (4 persons per room- P2,600) 
4th flr- 1 slot available, upper deck; (2 persons per room- P2,900)

F. Roman St. (near Agora/Aurora Blvd.)
2nd flr- 4 slots available, bed; (2 persons per room- P2,700)
3rd flr- 4 slots available, bed; (4 persons per room- P2,700)
4th flr- 2 slots available, 1 lower bed & 2 upper bed; (4 persons per room- P2,700 & P2,600 )

Requirements:
- resume & 1 gov't ID
- 1mo deposit & 1mo advance (consumable)
- P500 keys deposit (refundable)

For questions please call or text and look for Ian 0 9 3 3 8 5 7 2 4 3 2 or 0 9 1 7 8 1 7 1 2 4 1 and look for Rose or Ian.",,5,5,Metro Manila (NCR),San Juan City,,270,,,,https://www.carousell.ph/p/female-bedspacer-in-san-juan-city-near-greenhills-ortigas-center-238936765/?t-id=YkTxhsDDaD_1612243463771&t-referrer_browse_type=search_results&t-referrer_request_id=KJ_npGgyv7dnWVUp&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/08/14/for_rent_female_bedspacer_in_san_juan_near_greenhills_and_ortigas_1565763327_e361715c0_progressive, https://media.karousell.com/media/photos/products/2019/07/12/182229_238936765_2d8a8295.jpg, https://media.karousell.com/media/photos/products/2019/07/12/182229_238936765_a7f04b11.jpg, https://media.karousell.com/media/photos/products/2019/07/12/182229_238936765_36f7e96a.jpg, https://media.karousell.com/media/photos/products/2019/07/12/182229_238936765_f91d89bc.jpg, https://media.karousell.com/media/photos/products/2019/07/12/182229_238936765_1a586353.jpg, https://media.karousell.com/media/photos/products/2019/07/12/182229_238936765_593c4513.jpg, https://media.karousell.com/media/photos/products/2019/07/12/182229_238936765_87e2c14e.jpg, https://media.karousell.com/media/photos/products/2019/07/12/182229_238936765_96a22c0a.jpg, https://media.karousell.com/media/photos/products/2019/07/12/182229_238936765_906918db.jpg",
Lady Bedspace for Rent,2700,"Good Day!
We have available Bedspace for Girls.
Price: Php 2,700 - 3,500 per pax.
Electricity and Water Not Included.
With WiFi and free 1 locker
Address: 9267 Mactan St Guadalupe Nuevo Makati. Walking distance to BGC. near Jollibee Kalayaan, 7 eleven and Guadalupe Market
Terms: 1 month advance, 2 months deposit",9267 Mactan St. Guadalupe Nuevo Makati City,4,4,Metro Manila (NCR),Makati City,Guadalupe Nuevo,22,,,,https://www.carousell.ph/p/lady-bedspace-for-rent-1066910150/?t-id=YkTxhsDDaD_1612243463771&t-referrer_browse_type=search_results&t-referrer_request_id=KJ_npGgyv7dnWVUp&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/2/2/lady_bedspace_for_rent_1612231158_35a92f11_progressive, https://media.karousell.com/media/photos/products/2021/2/2/lady_bedspace_for_rent_1612231159_2242df6f_progressive, https://media.karousell.com/media/photos/products/2021/2/2/lady_bedspace_for_rent_1612231159_eb83d599_progressive",
