Unit Title/Description,Price,Description,Street Address,Bedroom,Bathroom,Region,City,Barangay,Floor Area,Lot Area,Parking Space,Pet Friendly,Link,Images,
"MAKATI DORMITORIES for P3,250/month near BGC & Ayala Avenue",3250,"“Euroflats” offers Male and Female Dorms; very clean and well-maintained.

Dorms are equipped with WiFi,  Aircon & Cable TV. Charges for Internet and Cable TV are included in the price, cost of utilities is shared with your room mates

We provide 2 sets of pillows, pillow cases, flat & fitted sheets for free. Daily cleaning of your room and the laundry of your bed sheets twice a month is provided for free as well.

We serve affordable meals in our onsite restaurant and our Building Administrator lives in the same building to ensure we cater to your needs.

A single ride brings you to BGC or CBD.

Terms: 2 months deposit; 12 months contract; no pets; no parking.

Call Ruby at 09-EUROFLATS

."," 508 Yakal Street, Barangay Comembo, Makati City, Makati City",1,2,Metro Manila (NCR),Makati City,,50,,0,,https://www.carousell.ph/p/makati-dormitories-for-p3-250-month-near-bgc-ayala-avenue-240841355/?t-id=10_QPLQXpZ_1612498226654&t-referrer_browse_type=search_results&t-referrer_request_id=sfqrTPpw-zi5uWZg&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/01/21/makati_dormitories_for_p3250month_near_bgc__ayala_avenue_1611225792_a09638a9e_progressive, https://media.karousell.com/media/photos/products/2021/01/21/makati_dormitories_for_p3250month_near_bgc__ayala_avenue_1611225792_501b9efde_progressive, https://media.karousell.com/media/photos/products/2021/01/21/makati_dormitories_for_p3250month_near_bgc__ayala_avenue_1611225793_fe3f68d1e_progressive, https://media.karousell.com/media/photos/products/2021/01/21/makati_dormitories_for_p3250month_near_bgc__ayala_avenue_1611225793_1a050556e_progressive, https://media.karousell.com/media/photos/products/2021/01/21/makati_dormitories_for_p3250month_near_bgc__ayala_avenue_1611225793_a7003b36e_progressive, https://media.karousell.com/media/photos/products/2021/01/21/makati_dormitories_for_p3250month_near_bgc__ayala_avenue_1611225793_b5287c1de_progressive, https://media.karousell.com/media/photos/products/2021/01/21/makati_dormitories_for_p3250month_near_bgc__ayala_avenue_1611225793_76cd0788e_progressive, https://media.karousell.com/media/photos/products/2021/01/21/makati_dormitories_for_p3250month_near_bgc__ayala_avenue_1611225793_fd0821a3e_progressive, https://media.karousell.com/media/photos/products/2021/01/21/makati_dormitories_for_p3250month_near_bgc__ayala_avenue_1611225794_a58ec9dae_progressive, https://media.karousell.com/media/photos/products/2021/01/21/makati_dormitories_for_p3250month_near_bgc__ayala_avenue_1611225794_27c5f149e_progressive",description
Male bedspace for rent,1600,"This listing is hosted on Carousell on behalf of OLX Philippines.
Male bedspacer For rent
1600 monthly Per head 
pang dalawahan sa room
1month advance 1month deposit
Location 
C3 1 trike from 4th avenue Marcella St. Brgy. 26 Sampalukan Caloocan City
Safe at di binabaha
Meron na free locker, fan, kama foam, unan",,1,1,Metro Manila (NCR),Caloocan City,,300,,,,https://www.carousell.ph/p/male-bedspace-for-rent-239011992/?t-id=10_QPLQXpZ_1612498226654&t-referrer_browse_type=search_results&t-referrer_request_id=C-S57pLmb4OA4xJK&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/07/12/184404_239011992_e2aefd39.jpg, https://media.karousell.com/media/photos/products/2019/07/12/184404_239011992_fc2e97f8.jpg, https://media.karousell.com/media/photos/products/2019/07/12/184404_239011992_66ebac29.jpg, https://media.karousell.com/media/photos/products/2019/07/12/184404_239011992_0541cd06.jpg, https://media.karousell.com/media/photos/products/2019/07/12/184404_239011992_2880f202.jpg, https://media.karousell.com/media/photos/products/2019/07/12/184404_239011992_662344a6.jpg, https://media.karousell.com/media/photos/products/2019/07/12/184404_239011992_33c88c54.jpg, https://media.karousell.com/media/photos/products/2019/07/12/184404_239011992_8eb7c136.jpg, https://media.karousell.com/media/photos/products/2019/07/12/184404_239011992_631cade3.jpg, https://media.karousell.com/media/photos/products/2019/07/12/184404_239011992_249063f2.jpg",
Male bedspace for rent,2000,"For male bedspacer only
1month advance 1 month deposit only to move in
First come first serve
Marcela metrobank A. Mabini near Maypajo and c3 4th avenue caloocan",54 Silanganan st. Marcella,1,1,Metro Manila (NCR),Caloocan City,,30,,,,https://www.carousell.ph/p/male-bedspace-for-rent-239971690/?t-id=10_QPLQXpZ_1612498226654&t-referrer_browse_type=search_results&t-referrer_request_id=C-S57pLmb4OA4xJK&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2019/07/16/male_bedspace_for_rent_1563248170_294db405_progressive.jpg,
room for rent with balcony bedspace,5000,"Room for rent with balcony
Laundry area
Dining area common
Free wifi
Electricity -fan/water included
Drinking water
Female only
Location: San antonio paranaque 
Transporation available nearby
Near church, puregold, hospitals etc",,1,,Metro Manila (NCR),Paranaque City,San Antonio,40,,,,https://www.carousell.ph/p/room-for-rent-with-balcony-bedspace-1067306652/?t-id=10_QPLQXpZ_1612498226654&t-referrer_browse_type=search_results&t-referrer_request_id=bmzH0K8FrD-VGU-q&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/2/3/big_room_for_rent_with_balcony_1612368652_eadf8deb_progressive.jpg, https://media.karousell.com/media/photos/products/2021/2/3/big_room_for_rent_with_balcony_1612368652_a4c57b38_progressive.jpg, https://media.karousell.com/media/photos/products/2021/2/3/big_room_for_rent_with_balcony_1612368652_f9aac60e_progressive.jpg",
Male Bedspace with FREE 100 mbps fiber wifi,2500,"Male Bedspace with FREE fiber wifi up to 100 mbps

Details:
-Fixed ALL IN, bills are included in the rent
-Drinking water with hot and cold water dispenser
-Unlimited Fiber wifi (Plan 100 MBPS with 3 wifi routers)
-Free TV use
-With Refrigerator
-Free use of common terrace, sala and kitchen
-Butane stove
-Free landline phone use
-No curfew 
-Visitors allowed
-CCTV
-Keys provided (Must be surrendered once tenancy ends) 
-No extra fee for gadgets, manual laundry, rice cooker, etc
-100 fee per use of washing machine/500 fee unli use of washing machine per month

2500 Non-AC Room (Max of 4):
-1 fan each
-Double deck bed with uratex foam
-Drawers
-CR within Room


1 month advance, 1 month deposit (Minimum of 2 months)
FIRST COME FIRST SERVE


JUST SHOW 2 VALID ID OR NBI CLEARANCE/POLICE CLEARANCE


Address:
6176 Salvador Estate Dr. A Santos Avenue Brgy San Isidro Sucat Paranaque City

Landmark:
Green gate with pole bamboo beside dental clinic and bridge. (The place can be seen from the highway already)


1 RIDE AWAY FROM CITY OF DREAMS, SM SUCAT, NAIA, MIA, SM BF, SANTANA GROVE, PASCOR, OLIVAREZ, VALLEY 2, LOPEZ,VALLEY 1, BACLARAN ETC 

WALKING DISTANCE FROM EVACOM, GATCHALIAN, PATTS,  AND UNIVERSAL COLLEGE

Pm or contact 09956121049// 09777128208 for more info. Thanks ",6176 Salvador Estate Sucat Brgy San Isidro Paranaque City,1,1,Metro Manila (NCR),Paranaque City,,50,,,,https://www.carousell.ph/p/male-bedspace-with-free-100-mbps-fiber-wifi-1035896813/?t-id=10_QPLQXpZ_1612498226654&t-referrer_browse_type=search_results&t-referrer_request_id=C-S57pLmb4OA4xJK&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/9/24/male_bedspace_with_free_100_mb_1600956363_0be943ac_progressive, https://media.karousell.com/media/photos/products/2020/9/24/male_bedspace_with_free_100_mb_1600956363_5d0b18c7_progressive, https://media.karousell.com/media/photos/products/2020/9/24/male_bedspace_with_free_100_mb_1600956363_35f83a2c_progressive, https://media.karousell.com/media/photos/products/2020/9/24/male_bedspace_with_free_100_mb_1600956363_01cdd36b_progressive, https://media.karousell.com/media/photos/products/2020/9/24/male_bedspace_with_free_100_mb_1600956363_18d533c2_progressive, https://media.karousell.com/media/photos/products/2020/9/24/male_bedspace_with_free_100_mb_1600956363_1be4a115_progressive, https://media.karousell.com/media/photos/products/2020/9/24/male_bedspace_with_free_100_mb_1600956363_da5df014_progressive, https://media.karousell.com/media/photos/products/2020/9/24/male_bedspace_with_free_100_mb_1600956363_6bb76d7f_progressive, https://media.karousell.com/media/photos/products/2020/9/24/male_bedspace_with_free_100_mb_1600956364_d0fdfcc1_progressive, https://media.karousell.com/media/photos/products/2020/9/24/male_bedspace_with_free_100_mb_1600956364_9e5ce8fd_progressive",
Lady Bedspace,2900,"lady bedspace 
508 Aliw st Mandaluyong City
2,900 
inclusion: water& electricity
wifi plus 200 
contact: 09054122339/ 09182861938","508 Aliw street,Mandaluyong City",0,1,Metro Manila (NCR),Mandaluyong City,,0,,,,https://www.carousell.ph/p/lady-bedspace-1021064182/?t-id=10_QPLQXpZ_1612498226654&t-referrer_browse_type=search_results&t-referrer_request_id=C-S57pLmb4OA4xJK&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/7/16/lady_bedspace_1594868457_68f698dd_progressive.jpg, https://media.karousell.com/media/photos/products/2020/7/16/lady_bedspace_1594868458_01cc0dd0_progressive.jpg, https://media.karousell.com/media/photos/products/2020/7/16/lady_bedspace_1594868458_5cee533e_progressive.jpg, https://media.karousell.com/media/photos/products/2020/7/16/lady_bedspace_1594868458_6474a159_progressive.jpg, https://media.karousell.com/media/photos/products/2020/7/16/lady_bedspace_1594868458_7a4afb1b_progressive.jpg",
Bedspace Aircon for Rent near Ayala,3000,"For female DAYSHIFT workers only!
Terms:
- P3000/mo.
- one-month adv, one-month dep,
- 4 months contract.
Reqmts:
- one photocopy of two valid ID's (one personal & one company ID)
- health certificate.

- 2 rooms for rent, 4 tenants per room (8ft x 10ft space)
- submeter electricity
- free household water (inclusive to the rent), but NO laundry allowed
- free WiFi, landline telephone calls, refrigerator, gas stove, hot-water airpot
- w/ ceiling fan & light
- common CR & kitchen
- flood-free area along VitoCruz Sr. Extn. (PabloOcampo Sr. Extn.) / Shopwise PasongTamo St. (ChinoRoces Ave.)
- near Shopwise grocery, wet market, water & laundry stations, McDo, KFC, Chowking, Shakeys, 711, small eaterys, Mercury drugstore, parlor/salon, banks, church/chapel
- walkable to Makati CBD (AyalaAve., MakatiMed, Firestation, Buendia GilPuyat, PasongTamo ChinoRoces, Metropolitan, Jupiter, JP Rizal, PRC)
- accessible by jeep, tricycle, taxi 24/7, one jeep ride to LRT-Taft Buendia & VitoCruz stn, MRT-Magallanes stn & PNR VitoCruz stn.",2284 Cervera St. Brgy La Paz Makati City,2,1,Metro Manila (NCR),Makati City,,,,,,https://www.carousell.ph/p/bedspace-aircon-for-rent-near-ayala-1030889712/?t-id=10_QPLQXpZ_1612498226654&t-referrer_browse_type=search_results&t-referrer_request_id=C-S57pLmb4OA4xJK&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/8/25/room_for_rent_near_ayala_1598344164_54adf11f_progressive.jpg, https://media.karousell.com/media/photos/products/2020/10/23/bedspace_aircon_for_rent_near__1603440506_1c65e52c_progressive.jpg, https://media.karousell.com/media/photos/products/2020/8/25/room_for_rent_near_ayala_1598344165_a363cf8d_progressive.jpg, https://media.karousell.com/media/photos/products/2020/8/25/room_for_rent_near_ayala_1598344165_6141c698_progressive.jpg",
RESIDENCIA FORTUNA Apartment Not Dorm UST Sampaloc Manila University B,6500,"RESIDENCIA FORTUNA 
UNITS for RENT
Apartment Studio
Sampaloc Manila near UST
for Working Professionals/Family/Students
Not Dorm / Not Bedspace

Standard 1 year contract
But also accepts 1-11 months w/ additional rent

No Curfew
Allowed Visitors
No pets
3 short blocks from UST (1 minute walk)
Least flooded in UST area
Aircon & Cabinets
Kitchenette
Own Bathroom w/ Heater & Exhaust
High Water Pressure 24/7
with Beds
Some rooms w/ Study Desk
Security Guard
Free Wifi - Ground Floor lobby/study area
Generator for Common Areas
Free Parking,1st come 1st serve

Room for 1-2 persons. P6,500 to P8,500 depending on size
Room for 3-4 persons. P9,300

Visit: #1081 Don Quijote St., Sampaloc, Manila 
(from Lacson side of UST, enter Piy Margal, then turn right on the 3rd street which is Don Quijote)
For Inquiries, Contact 0917.583.6181"," Don Quijote St., Sampaloc",0,,Metro Manila (NCR),Manila,,0,,0,,https://www.carousell.ph/p/residencia-fortuna-apartment-not-dorm-ust-sampaloc-manila-university-b-240824230/?t-id=10_QPLQXpZ_1612498226654&t-referrer_browse_type=search_results&t-referrer_request_id=sfqrTPpw-zi5uWZg&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/10/16/residencia_fortuna_apartment_not_dorm_ust_sampaloc_manila_university_b_1602822043_3f9a3861e_progressive, https://media.karousell.com/media/photos/products/2020/10/16/residencia_fortuna_apartment_not_dorm_ust_sampaloc_manila_university_b_1602822043_3ac8ae31e_progressive, https://media.karousell.com/media/photos/products/2020/10/16/residencia_fortuna_apartment_not_dorm_ust_sampaloc_manila_university_b_1602822043_1459fcede_progressive, https://media.karousell.com/media/photos/products/2020/10/16/residencia_fortuna_apartment_not_dorm_ust_sampaloc_manila_university_b_1602822043_a61f937ae_progressive, https://media.karousell.com/media/photos/products/2020/10/16/residencia_fortuna_apartment_not_dorm_ust_sampaloc_manila_university_b_1602822043_b3255b7fe_progressive, https://media.karousell.com/media/photos/products/2020/10/16/residencia_fortuna_apartment_not_dorm_ust_sampaloc_manila_university_b_1602822043_bf58387ae_progressive, https://media.karousell.com/media/photos/products/2020/10/16/residencia_fortuna_apartment_not_dorm_ust_sampaloc_manila_university_b_1602822043_8aada511e_progressive, https://media.karousell.com/media/photos/products/2020/10/16/residencia_fortuna_apartment_not_dorm_ust_sampaloc_manila_university_b_1602822043_4132e2a7e_progressive, https://media.karousell.com/media/photos/products/2020/10/16/residencia_fortuna_apartment_not_dorm_ust_sampaloc_manila_university_b_1602822043_f86c572be_progressive, https://media.karousell.com/media/photos/products/2020/10/16/residencia_fortuna_apartment_not_dorm_ust_sampaloc_manila_university_b_1602822043_91936dc2e_progressive",
4 bedroom dorm type apartment for staff housing across Victory Pasay M,37000,"4 bedrooms with 10 beds with 3 shared/common toilet and 1 kitchen. 
maximum of 10 persons capacity.  All beds include mattresses already. Ready for occupancy.
located on the ground floor, with separate access from the street level. No curfew needed.
all beds with their own worktable and outlets.

ideal for a staff house.
electricity and water included in the rent.

located very near Libertad LRT Station and right across Victory Pasay Mall.
nearby establishments are 7-11, Mercury Drug, Puregold Grocery, Mang Inasal, Kentucky Fried Chicken.
Libertad Public Market, Cartimar Market, Eastwest Bank, BPI, PNB, BDO, Metrobank, Security Bank, Chinabank.
walking distance to Pagibig PASAY Office, Cuneta Astrodome, Welcomme Mall.
1 ride away from Makati, SM MOA area.

no parking available. no aircon available.
tenant can install aircon at their own cost + electricity."," A. Arnaiz Ave. Pasay, Pasay City",4,3,Metro Manila (NCR),Pasay City,,60,,0,,https://www.carousell.ph/p/4-bedroom-dorm-type-apartment-for-staff-housing-across-victory-pasay-m-1051933976/?t-id=10_QPLQXpZ_1612498226654&t-referrer_browse_type=search_results&t-referrer_request_id=sfqrTPpw-zi5uWZg&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/01/21/4_bedroom_dorm_type_apartment_for_staff_housing_across_victory_pasay_m_1611203671_26b2e408e_progressive, https://media.karousell.com/media/photos/products/2021/01/21/4_bedroom_dorm_type_apartment_for_staff_housing_across_victory_pasay_m_1611203671_de8d4bbbe_progressive, https://media.karousell.com/media/photos/products/2021/01/21/4_bedroom_dorm_type_apartment_for_staff_housing_across_victory_pasay_m_1611203671_d48b2ecbe_progressive, https://media.karousell.com/media/photos/products/2021/01/21/4_bedroom_dorm_type_apartment_for_staff_housing_across_victory_pasay_m_1611203671_e056b14be_progressive, https://media.karousell.com/media/photos/products/2021/01/21/4_bedroom_dorm_type_apartment_for_staff_housing_across_victory_pasay_m_1611203672_a9710bf4e_progressive, https://media.karousell.com/media/photos/products/2021/01/21/4_bedroom_dorm_type_apartment_for_staff_housing_across_victory_pasay_m_1611203672_22acb38ce_progressive, https://media.karousell.com/media/photos/products/2021/01/21/4_bedroom_dorm_type_apartment_for_staff_housing_across_victory_pasay_m_1611203672_a5b95fe8e_progressive, https://media.karousell.com/media/photos/products/2021/01/21/4_bedroom_dorm_type_apartment_for_staff_housing_across_victory_pasay_m_1611203672_1b7fadbde_progressive",
Bedspace for Rent,2000,"Bedspace for Rent
Savannah Green Plains (Brgy Cuayan)
blk 7 lot 20 ph 3 Cuayan, 2009 Angeles City, Philippines

09954690763

max of 2 persons per room

2k per month per bed (1 month advance, 2 months deposit)

room size: 2m x 3m

1 house w/ 5 rooms (rooms/beds rented separately)

common CR

free water and electric bill (electric fan and charger only)
(Extra appliance, extra fee)

Single double deck with hard foam (Bring your own soft foam and things)

subdivision amenities: pool and clubhouse

near Korean town, Clark, Mc Do Friendship, 7 Eleven, Police Stn 5, Prime Lube Gasoline Stn, mini groceries, carenderia and sari - sari stores, Spa and Restaurants

15min ride to Clark (Friendship Gate) - 1 jeep ride
25min ride to SM Clark - 2 jeeps ride
30min ride to Dau bus terminal - 2 jeeps ride

Google Map:","Savannah Green Plains (Brgy Cuayan)
blk 7 lot 20 ph 3 Cuayan, 2009 Angeles 

Google Map:
https://www.google.com/maps/place/Michael's+Room+for+Rent/@15.1467385,120.5542106,17z/data=!4m9!1m3!11m2!2s1ubn-7vux_lHrpYyfyy8DXI6yhLg!3e1!3m4!1s0x3396f31e06a7273f:0x9dd3dbd0fcc2dd2d!8m2!3d15.1466913!4d120.5541771",1,1,Central Luzon,Angeles City,Cuayan,6,,,,https://www.carousell.ph/p/bedspace-for-rent-1067570248/?t-id=10_QPLQXpZ_1612498226654&t-referrer_browse_type=search_results&t-referrer_request_id=C-S57pLmb4OA4xJK&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/2/5/bedspace_for_rent_1612496173_97253773_progressive.jpg, https://media.karousell.com/media/photos/products/2021/2/5/bedspace_for_rent_1612496173_5fba3f3f_progressive.jpg, https://media.karousell.com/media/photos/products/2021/2/5/bedspace_for_rent_1612496174_60436073_progressive.jpg, https://media.karousell.com/media/photos/products/2021/2/5/bedspace_for_rent_1612496174_fbe37ad6_progressive.jpg, https://media.karousell.com/media/photos/products/2021/2/5/bedspace_for_rent_1612496174_63f95829_progressive.jpg, https://media.karousell.com/media/photos/products/2021/2/5/bedspace_for_rent_1612496174_4fd19269_progressive.jpg, https://media.karousell.com/media/photos/products/2021/2/5/bedspace_for_rent_1612496175_a035c029_progressive.jpg, https://media.karousell.com/media/photos/products/2021/2/5/bedspace_for_rent_1612496175_bea262e3_progressive.jpg, https://media.karousell.com/media/photos/products/2021/2/5/bedspace_for_rent_1612496175_a099ca28_progressive.jpg, https://media.karousell.com/media/photos/products/2021/2/5/bedspace_for_rent_1612496175_4ef996d1_progressive.jpg",
