Unit Name,Price,Description,Street Address,Bedroom/s,Bathroom/s,Region,City,Barangay,Floor Area,Lot Area,Parking Space,Pet Friendly,,Images,Special Character?,Link
SM Jazz Bedspace,5000,"Looking for one (1) male room mate ??
1 bedroom unit in SM Jazz Residences, Makati
P5,000++ monthly rental

With unlimited use of amenities including:
Fibr Wifi
Swimming Pool
Gym
Lobby Lounge with Wifi
+ Easy access to SM Jazz Mall below the condo

Please contact me at 09274982627 for more details ??

Rent Details:
- Unit rent will be P5,000 per month excluding utility fees which will be shared by all tenants including myself

- Needed security requirements: Company ID / School ID / Passport and NBI Clearance

- Contract Requirement: 6 months (can be negotiable)

- 1 month advance, 1 month security deposit needed","SM Jazz Residences, Jupiter St. Makati",1,1,Metro Manila (NCR),Makati City,,34,,,,,https://media.karousell.com/media/photos/products/2020/01/03/sm_jazz_bedspace_1578021363_96b98b4d_progressive.jpg,description,https://www.carousell.ph/p/sm-jazz-bedspace-270775350/?t-id=og4ueu5H7D_1613034330565&t-referrer_browse_type=search_results&t-referrer_request_id=KEdVe80IIK-JEbQz&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace Room for rent in Las pinas..,1200,"Location: Rainbow Marcos Alvarez
7 rms avail.here...
2 - common toilets
4 - common bathrooms
We have submeters.
With  water tank & maynilad
With electric generator

Free Wifi ..   FEMALES ONLY
Electric Fan, Bed , screens,tv
1mo adv; 1mo deposit; 1mo refundable
min 3mos lock period else u forfeit ur deposit

Near Robinson, SM Southmall , Ayala  Town , Puregold,Northgate,  Savemore, las pinas medical . Shopwise, savemore, SM Pamplona

Contact Nilda Villar

0917-  703- 4338  Globe
8802- 1319. Landline",,5,4,Metro Manila (NCR),Las Pinas,,100,,,,,https://media.karousell.com/media/photos/products/2019/10/27/bedspace_room_for_rent_in_las_pinas_1572122966_6b61343a_progressive.jpg,,https://www.carousell.ph/p/bedspace-room-for-rent-in-las-pinas-239341352/?t-id=og4ueu5H7D_1613034330565&t-referrer_browse_type=search_results&t-referrer_request_id=KEdVe80IIK-JEbQz&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Female Bedspace Condo sharing Mandaluyong,3500,"Lower bed available (add 200.00)
Location: urban deca tower edsa mandaluyong along edsa bet Boni & Shaw Mrt few steps to Greenfield,MRT Station,Starmall,SM Light,Shangrila,Ortigas & SM Megamall
Good for 4persons
Inclusions: furnished with new aircon,bed w/foam & bedsheet,cabinet & storage box,ref,microwave,kettle,rice cooker,2seater table,utensils,assoc dues
Exclusions: water & electricity bill(sharing)
Requirements: 1mon adv,1mon deposit,2 valid ids",,0,1,Metro Manila (NCR),Mandaluyong City,,15,,,,,https://media.karousell.com/media/photos/products/2019/11/12/female_bedspace_condo_sharing_mandaluyong_1573522991_e2e21549_progressive.jpg,,https://www.carousell.ph/p/female-bedspace-condo-sharing-mandaluyong-261910477/?t-id=og4ueu5H7D_1613034330565&t-referrer_browse_type=search_results&t-referrer_request_id=KEdVe80IIK-JEbQz&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Female Bedspace at Axis Residences,4500,"- Axis Residences is located along Pioneer St., Mandaluyong City, right next to Cybergate 3
- Amenities include free use of gym, outdoor pool and basketball court 
-The unit is fully furnished 
- Kitchen is furnished with a ref, microwave, induction stove, range hood 
- Bedroom is furnished with AC, Ddecks & mattress, 4 wardrobe cabinet (1 cabinet per tenant) 
- Each bedspace has its own curtain for privacy & to block out all light for undisturbed sleep    
- Free use of gym & outdoor swimming pool   
- Upper deck rate is Php4500, lower deck rate isPhp4700   
- Rental rate does not include condo dues, Water and Electric bill 
- Condo Dues is 500 per person

Minimum length of stay: 6 months
Terms of payment: 1 month advance, 2 months deposit",Pioneer St,0,1,Metro Manila (NCR),Mandaluyong City,,24,,,,,https://media.karousell.com/media/photos/products/2020/12/26/female_bedspace_at_axis_reside_1608975922_b1fc1c45_progressive.jpg,,https://www.carousell.ph/p/female-bedspace-at-axis-residences-1010100366/?t-id=og4ueu5H7D_1613034330565&t-referrer_browse_type=search_results&t-referrer_request_id=KEdVe80IIK-JEbQz&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Female bedspacers,3500,"Looking for female bed spacers. 
Fresh Condo unit

Location: Urban Deca Homes Tondo (Vitas)

Accessible/Near to:

?? Public transportation
?? Food panda and grab food
?? Deca Mall and Hypermarket
?? Puregold Tayuman
?? Tondo Medical
?? Tayuman LRT Station
?? Divisoria
?? Lucky China Town Mall
?? Tutuban
?? SM San Lazaro
?? Metropolitan Medical Center
?? FEU
?? UE 
?? UST
?? Lyceum
?? Letran
?? Quiapo Church
?? Lawton
?? Intramuros
?? PRC

PM for details",,,1,Metro Manila (NCR),Manila,Tondo - Barangay 1,23,,,,,https://media.karousell.com/media/photos/products/2021/1/10/female_bedspacers_1610252502_9c28bf02_progressive.jpg,description,https://www.carousell.ph/p/female-bedspacers-1061752234/?t-id=og4ueu5H7D_1613034330565&t-referrer_browse_type=search_results&t-referrer_request_id=KEdVe80IIK-JEbQz&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Lady bedspacer,2000,"Lady bedspacer
may 2k monthly at 2.5k monthly mas maluwag
water and electricity included na sa monthly
may wifi na din
pasay area",,5,1,Metro Manila (NCR),Pasay City,Barangay 106,0,,,,,https://media.karousell.com/media/photos/products/2021/2/9/lady_bedspacer_1612850650_75c25265_progressive.jpg,,https://www.carousell.ph/p/lady-bedspacer-1068485298/?t-id=og4ueu5H7D_1613034330565&t-referrer_browse_type=search_results&t-referrer_request_id=GOTxQjKJsYVjmD9u&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
RESIDENCIA FORTUNA Apartment Not Dorm UST Sampaloc Manila University B,6500,"RESIDENCIA FORTUNA 
UNITS for RENT
Apartment Studio
Sampaloc Manila near UST
for Working Professionals/Family/Students
Not Dorm / Not Bedspace

Standard 1 year contract
But also accepts 1-11 months w/ additional rent

No Curfew
Allowed Visitors
No pets
3 short blocks from UST (1 minute walk)
Least flooded in UST area
Aircon & Cabinets
Kitchenette
Own Bathroom w/ Heater & Exhaust
High Water Pressure 24/7
with Beds
Some rooms w/ Study Desk
Security Guard
Free Wifi - Ground Floor lobby/study area
Generator for Common Areas
Free Parking,1st come 1st serve

Room for 1-2 persons. P6,500 to P8,500 depending on size
Room for 3-4 persons. P9,300

Visit: #1081 Don Quijote St., Sampaloc, Manila 
(from Lacson side of UST, enter Piy Margal, then turn right on the 3rd street which is Don Quijote)
For Inquiries, Contact 0917.583.6181"," Don Quijote St., Sampaloc",0,,Metro Manila (NCR),Manila,,0,,0,,,https://media.karousell.com/media/photos/products/2020/10/16/residencia_fortuna_apartment_not_dorm_ust_sampaloc_manila_university_b_1602822043_3f9a3861e_progressive,,https://www.carousell.ph/p/residencia-fortuna-apartment-not-dorm-ust-sampaloc-manila-university-b-240824230/?t-id=og4ueu5H7D_1613034330565&t-referrer_browse_type=search_results&t-referrer_request_id=Z2bQSlxHC1-nY5zc&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Makati Male Professional Room for Rent Bedspace,2800,"TXT/SMS Sun: 0943-483-0099

Makati Male Bedspace Room for Rent Apartment for Male Professionals Boarding House Condominium and Dormitory Style. Flood Free.

ONLY ONE RIDE FROM:
Ayala, Buendia/Gil Puyat, Rockwwell, LRT, MRT, EDSA-Guadalupe, Mapua, RCBC, Ayala Malls Circuit Makati, Makati Ave., Malugay

RATE: (Limited slots left. Txt first to confirm availability.)
Top Bed - 2,800/mo.
Bottom Bed - 3,000/mo.

Features:
Spacious Social Hall, Common Areas
Regular Housekeeping
CCTV for Security
Kitchen

Free:
Water
Electricity
High Speed Wi-Fi
Hot and Cold Filtered Drinking Water
Flat TV with Cable
Steel Beds
Uratex Foam Mattress

TXT/SMS Sun: 0943-483-0099",MAKATI,5,4,Metro Manila (NCR),Makati City,,100,,,,,https://media.karousell.com/media/photos/products/2019/07/09/makati_male_professional_room_for_rent_bedspace_1562633307_adce840c0_progressive,,https://www.carousell.ph/p/makati-male-professional-room-for-rent-bedspace-238002475/?t-id=og4ueu5H7D_1613034330565&t-referrer_browse_type=search_results&t-referrer_request_id=KEdVe80IIK-JEbQz&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Lf working female bedspacer,330,"Viewing anytime. 

LF: Working female bedspacer

Location: Cembo, Makati

??Only 1 upper bunk left ??

?? Accessible to most places.
?? Minimum 6 months 

Inclusions:
?Electric bill
?Water bill
? New Aircon (10hrs a day)
?Ceiling fan
?Bunkbed
?New Mattress and pillow
?Cabinet 
?Secured gate
? 24 hour cctv operated

??Nasa may main road ang bahay(along kalayaan ave.)
??10mins walk to BGC
??1 ride to Market!Market!/ SM Aura
??1 ride to Ayala
??1 ride to Rockwell
??1 ride to Pasig
??1 ride to Antipolo
??1 ride to Taytay
??1 ride to Cainta
??2 rides to mandaluyong
??2 rides to ortigas

Pm me for more details.",,2,2,Metro Manila (NCR),Makati City,Cembo,35,,,,,https://media.karousell.com/media/photos/products/2021/2/8/lf_working_female_bedspacer_1612824673_aeed591d_progressive.jpg,description,https://www.carousell.ph/p/lf-working-female-bedspacer-1068424763/?t-id=og4ueu5H7D_1613034330565&t-referrer_browse_type=search_results&t-referrer_request_id=KEdVe80IIK-JEbQz&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspacer - UP Campus,3000,"Room good for (2) two
Both male/Both female occupant

Residential Area near UP Town Center and UP technohub
Inclusive: Electricity, Water and Wifi connection

look for Gina - 09175142843

#bedspacer #roomforrent #quezoncity",UP Campus,,,Metro Manila (NCR),Quezon City,,0,,,,,https://media.karousell.com/media/photos/products/2020/8/23/bedspacer__up_campus_1598170528_5a028a12_progressive.jpg,,https://www.carousell.ph/p/bedspacer-up-campus-1030436612/?t-id=og4ueu5H7D_1613034330565&t-referrer_browse_type=search_results&t-referrer_request_id=KEdVe80IIK-JEbQz&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspacer - Single UP Campus,3500,"Single Room
Communal Cr

Inclusive: Electricity, Water and Wifi connection

Residential Area near UP Town Center

Look for Gina - 09175142843

#bedspacer #rent #quezoncity",UP Campus,,,Metro Manila (NCR),Quezon City,,0,,,,,https://media.karousell.com/media/photos/products/2020/8/24/bedspacer__single_up_campus_1598240585_892e4157_progressive.jpg,,https://www.carousell.ph/p/bedspacer-single-up-campus-1030608300/?t-id=og4ueu5H7D_1613034330565&t-referrer_browse_type=search_results&t-referrer_request_id=KEdVe80IIK-JEbQz&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Female bedspace Plainview/Boni Mandaluyong,2500,"Helping a friend
Female Bedspace Plainview Mandaluyong

> Can wash and cook
>Has own bed frame not double deck
>With cabinet
>Only two women inside the room
>Pwede nang lumipat agad
>Spacious room pm ill send the video
>Its a house with rooms so you can roam around.

PM  or contact 09167971879 for viewing",,1,,Metro Manila (NCR),Mandaluyong City,Plainview,1,,,,,https://media.karousell.com/media/photos/products/2021/2/11/female_bedspace_plainview_mand_1613014116_cf4c379d_progressive.jpg,,https://www.carousell.ph/p/female-bedspace-plainview-boni-mandaluyong-1068855984/?t-id=og4ueu5H7D_1613034330565&t-referrer_browse_type=search_results&t-referrer_request_id=KEdVe80IIK-JEbQz&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Makati Female Bedspace,2500,"For rent Bedspace & Room
Female only (P.2500 )
Ideal for working  & Students
-800 km from Cash&Carry
-1 km from RCBC plaza
-Computer Shop & Self Service       
laundry sa baba
-P2500 monthly 
-1 month advance 1 month deposit
-Inclusion of water & electricity
-Well Ventilated 
-
# 0 9 2 1 5 5 5 9 1 1 1  (smart)
# 8 8 8 8 2 8 0 8 (landline)
-
1669 Dian corner Faraday Street
Brgy.San Isidro Makati 

For Viewing  look for Heidie",1669 Dian faraday San isidro makati,1,2,Metro Manila (NCR),Makati City,San Isidro,60,,,,,https://media.karousell.com/media/photos/products/2021/1/6/makati_female_bedspace_1609923503_c2c6cba2_progressive.jpg,,https://www.carousell.ph/p/makati-female-bedspace-1060966390/?t-id=og4ueu5H7D_1613034330565&t-referrer_browse_type=search_results&t-referrer_request_id=KEdVe80IIK-JEbQz&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace for Rent,1700,"Bedspace for rent available for boys and girls??
-Concrete ang House
-free water and basic electricity
Landmarks: USC-Main Campus
                               Terminal sa Vhire South

Address : Jakosalem St Brgy Kamagayan Cebu City",688-A D. Jakosalem St. Kamagaayan Cebu City,,2,Central Visayas,Cebu City,Kamagayan (Pob.),105,,,,,https://media.karousell.com/media/photos/products/2021/2/6/bedspace_for_rent_1612614679_74ae9f88_progressive.jpg,description,https://www.carousell.ph/p/bedspace-for-rent-1067898831/?t-id=bqenxm7RYf_1613034548493&t-referrer_browse_type=search_results&t-referrer_request_id=zv5Gn2_l_MoWuAmf&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Condo Sharing/Bedspace,6500,"CONDO SHARE/BEDSPACE????
ALL THE INFORMATIONS WILL BE LISTED BELOW! 

PLEASE, MESSAGE ME IF YOU’RE INTERESTED AND FEEL FREE TO ASK??
?? INFORMATIONS
Amaia Skies Shaw Condominium 
29th Floor 
Fully Furnished 
Facing Amenities
1 year Contract
MOVE IN ANYTIME

 ? CONDO SHARING / BEDSPACE
All Female (3 Pax available)

ALL IN ????
PHP 6,500/month 
2 months deposit 1 month Advance

Inclusions
??Electricity
??Water 
??WIFI 50 mbps
?? Free use of Utilities 
?? Free use of Amenities
??Association Dues 

? Parking

?? UTILITIES
* AirCon
* Kitchen Cabinets
* Refrigerator 
* Automatic washer
* Electric stove 
* Sofa 
* TV with Netflix 
* Shower hot/cold
* Room Cabinet

??AMENITIES
* Swimming pool
* Playground
* landscaped garden
* Jogging path

 ?? LOCATION 
 Shaw Blvd corner Samat Street, Barangay Highway Hills, Mandaluyong City
* Accessible from EDSA and Shaw Blvd.
* Accessible to Shaw station of MRT and transport stations such as Jeepneys, buses and Shuttle services.
* Close to schools, recreational center, hospitals and various commercial establishments such as EDSA Central, Starmall, Shangri-la and SM Megamall.",Samat,1,1,Metro Manila (NCR),Mandaluyong City,Highway Hills,32,,0,,,https://media.karousell.com/media/photos/products/2021/2/11/condo_sharingbedspace_1613011330_9ccd712e_progressive.jpg,description,https://www.carousell.ph/p/condo-sharing-bedspace-1068848784/?t-id=bqenxm7RYf_1613034548493&t-referrer_browse_type=search_results&t-referrer_request_id=lNTnYBInU8cv2KO1&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace for rent Fame Residences Condominium,5000,"?Looking for 2 female bedspacers
??with 2 existing tenants.
??5,000 per head. 
?? fully furnished
?? WiFi, water and electricity not included.
??6 months to 1 year contract
??1 month advance and 1 month security deposit. 

Kindly sms me for faster transaction. 

Thanks for viewing!","EDSA Shaw Boulevard Mayflower Street, Brgy. Highway Hills, Mandaluyong City",1,1,Metro Manila (NCR),Mandaluyong City,,24.05,,0,,,https://media.karousell.com/media/photos/products/2021/2/9/bedspace_for_rent_fame_residen_1612877912_1d30c5dc_progressive.jpg,description,https://www.carousell.ph/p/bedspace-for-rent-fame-residences-condominium-1039259702/?t-id=2_2ueQWk7W_1613034777859&t-referrer_browse_type=search_results&t-referrer_request_id=EVn5EMM39Nc6v8gv&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Male Bedspace Ortigas with Wifi,3500,"MALE BEDSPACE IN ORTIGAS FREE WIFI

09154735238
09154735238

Up and down apartment type.

First floor: salas dining kitchen laundry area and cr.

2nd floor: two rooms. Each has 6 young male professional spacee.

1 month advance 1 month deposit

1K Gen. Atienza St. in front of The Link Centre Bldg inside san antonio village ortigas

3500 All in!
3500 All in!
3500 All in!

Its ironically located in the heart of Ortigas CBD.

Near:
Sm Megamall
Shangrila Mall
PSE
Capitol Commons
Churches
TOP Multi-Corporation Buildings inside Ortigas CBD.
Tiendesitas
The Medical City Ortigas
DRUGSTORES
HARDWARE
CONVINIENCE STORES
VERY ACCESIBLE.
Kindly check our dorm personally para mas maappreciate. Libre lahat
Wifi
Ilaw
Tubig
Magluto
Maglaba
Fully furnished:
Salas with 40 inch flat tv
Dining table 4 seater
Refrigerator
Ironing materials
All your roomates are very professionals (I.T. Eng. CPA, etc.)

09154735238",1K Gen. Atienza St. Brgy. San Antonio Pasig City,2,1,Metro Manila (NCR),Pasig City,San Antonio,80,,,,,https://media.karousell.com/media/photos/products/2021/2/9/male_bedspace_ortigas_with_wif_1612860105_49ea3908_progressive,,https://www.carousell.ph/p/male-bedspace-ortigas-with-wifi-1068518652/?t-id=2_2ueQWk7W_1613034777859&t-referrer_browse_type=search_results&t-referrer_request_id=EVn5EMM39Nc6v8gv&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
ASAP ASAP !!! AFFORDABLE FEMALE BEDSPACE MAKATI,3200,"ASAP ASAP!!!

??EVERYTHING YOU NEED IS HERE????
??HURRY... GRAB IT NOW????MORE SLOTS AVAILABLE...
??PM ME FOR SCHEDULE OF VIEWING...

??%Available!!!
I will delete this post if already occupied...

#veryaccessibleayalamakati
#walkingdistanceayalamakati
#veryaffordableladybedspacer
#roomsharing
#condosharing

#AccessibleLADYBEDSPACEForRentMakatiCity
#VeryaccessibleWaltermartMakatiSquareDonBoscoPbcomTowerRcbcAyalaAveGlorietteLandmarkMakatiMed

?MONTHLY RENT 3,200PHP

?Accept DAY SHIFT ONLY

?Only Upper Deck available

?UTILITIES FOR “ELECTRIC” NOT INCLUDED?
(Separate payment)

Included/Provided:
??Aircondition
??Wifi and landline
??Puwede Maglaba
??Puwede Magluto
??TV
??Double deck
??Mattress
??1month deposit 1month advance
??No curfew
??Very clean
??Newly renovated
??Puwede na lumipat agad
??Safe and secure (with guard)
??Water bill (kasama na)

??FOR INTERESTED kindly pm me. Thank you.",,,,Metro Manila (NCR),Makati City,,50,,,,,https://media.karousell.com/media/photos/products/2020/10/28/rush_rush_affordable_female_be_1603854713_505c41d9_progressive.jpg,description,https://www.carousell.ph/p/asap-asap-affordable-female-bedspace-makati-1041654074/?t-id=2_2ueQWk7W_1613034777859&t-referrer_browse_type=search_results&t-referrer_request_id=EVn5EMM39Nc6v8gv&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
